fecha,fuente,temperatura,salinidad,clorofila_ug_l,oxigeno_mg_l,turbidez_ftu,transparencia_m
2016-08-08,upct,,,,,,1.0276745557785034
2016-08-09,upct,,,,,,1.5903536081314087
2016-08-12,upct,,,,,,1.1958996057510376
2016-08-16,upct,,,,,,1.30524742603302
2016-08-22,upct,,,,,,0.979977548122406
2016-08-30,upct,,,,,,0.995704174041748
2016-09-09,upct,,,,,,1.0811728239059448
2016-09-12,upct,,,,,,1.2335542440414429
2016-09-14,upct,,,,,,1.2888153791427612
2016-09-21,upct,,,,,,0.8164271712303162
2016-09-26,upct,,,,,,0.8287442326545715
2016-10-03,upct,,,,,,0.8419083952903748
2016-10-05,upct,,,,,,0.8723422884941101
2016-10-11,upct,,,,,,0.8655602335929871
2016-10-17,upct,,,,,,0.8749272227287292
2016-10-24,upct,,,,,,0.9811081290245056
2016-11-09,upct,,,,,,1.1186113357543943
2016-11-17,upct,,,,,,1.0671107769012451
2016-11-24,upct,,,,,,1.4475159645080566
2016-11-29,upct,,,,,,1.2549382448196411
2016-12-14,upct,,,,,,1.5068613290786743
2016-12-21,upct,,,,,,0.9584892392158508
2016-12-29,upct,,,,,,1.081593632698059
2017-01-04,upct,,,,,,1.1411157846450806
2017-01-13,upct,,,,,,1.0749988555908203
2017-01-25,upct,,,,,,0.9464895129203796
2017-02-01,upct,,,,,,1.5151474475860596
2017-02-07,upct,,,,,,1.2005016803741455
2017-02-14,upct,,,,,,1.188524842262268
2017-02-15,upct,,,,,,2.9433798789978027
2017-02-28,upct,,,,,,1.877350091934204
2017-03-07,upct,,,,,,2.15604305267334
2017-03-21,upct,,,,,,2.0691096782684326
2017-03-22,upct,16.784072875976562,36.64084243774414,,7.624396800994873,2.4384684562683105,
2017-03-28,upct,,,,,,2.6812260150909424
2017-03-30,upct,17.32989501953125,36.44270706176758,,7.41309118270874,2.37746262550354,
2017-04-05,upct,18.244800567626953,36.12716293334961,,7.275117874145508,2.274135112762451,
2017-04-12,upct,19.46531867980957,38.155799865722656,,7.099794864654541,2.3584060668945312,
2017-04-25,upct,18.906261444091797,38.728240966796875,,6.980852127075195,1.862621545791626,3.280859470367432
2017-05-04,upct,19.501352310180664,38.933074951171875,,6.822452068328857,1.4904474020004272,
2017-05-11,upct,,,,,,3.862305641174317
2017-05-12,upct,,,,,,3.566289186477661
2017-05-18,upct,,,,,,4.217769622802734
2017-05-19,upct,23.03464126586914,41.44813537597656,0.9360380172729492,6.041473865509033,2.001521348953247,
2017-05-24,upct,23.128435134887695,41.673458099365234,1.015891194343567,6.09463357925415,6.094403266906738,
2017-05-31,upct,,,,,,4.689275741577148
2017-06-02,upct,24.581281661987305,41.92520523071289,1.4671412706375122,6.231743812561035,4.110810279846191,
2017-06-06,upct,25.5700740814209,41.991729736328125,1.2797284126281738,6.0968523025512695,1.254146933555603,4.613865375518799
2017-06-13,upct,26.197235107421875,42.18815994262695,1.202833890914917,6.0617356300354,3.323204278945923,
2017-06-14,upct,,,,,,4.33234167098999
2017-06-21,upct,28.228496551513672,42.41734313964844,1.0080941915512085,5.558415412902832,1.4656212329864502,
2017-06-23,upct,,,,,,4.194737434387207
2017-06-27,upct,,,,,,4.15277624130249
2017-06-30,upct,27.049501419067383,42.64724349975586,1.2447112798690796,4.885758876800537,2.2248334884643555,
2017-07-05,upct,26.623624801635742,43.009681701660156,1.4530316591262817,6.013712406158447,3.525289535522461,
2017-07-06,upct,,,,,,3.772150278091431
2017-07-11,upct,,,,,,3.5352048873901367
2017-07-12,upct,28.079328536987305,43.12077331542969,2.010637044906616,5.8282976150512695,1.8977872133255005,
2017-07-19,upct,28.87911033630371,43.21356201171875,1.613444447517395,5.586859703063965,2.821261167526245,3.7070233821868896
2017-07-26,upct,29.515522003173828,43.45481491088867,1.811876654624939,5.688200950622559,1.7402244806289673,
2017-07-28,upct,,,,,,3.870812177658081
2017-07-31,upct,,,,,,3.1152422428131104
2017-08-08,upct,,,,,,1.768590211868286
2017-08-18,upct,,,,,,1.106393575668335
2017-08-24,upct,,,,,,1.075135350227356
2017-08-29,upct,,,,,,1.004718780517578
2017-08-30,upct,27.431928634643555,44.05550765991211,4.858102321624756,4.575324535369873,8.873456001281738,
2017-09-06,upct,27.1295223236084,44.072383880615234,4.979544639587402,4.561092853546143,7.418335914611816,0.9291068911552428
2017-09-11,upct,25.763736724853516,44.13997268676758,4.2478837966918945,4.512014865875244,4.119320392608643,
2017-09-14,upct,,,,,,1.230633020401001
2017-09-20,upct,,,,,,1.07293963432312
2017-09-27,upct,24.83526611328125,44.19529342651367,4.446615695953369,5.845129013061523,6.909273147583008,
2017-09-29,upct,,,,,,0.9212824106216432
2017-10-04,upct,24.87564468383789,44.499366760253906,3.9611263275146484,5.847646713256836,8.252984046936035,
2017-10-05,upct,,,,,,1.0661059617996216
2017-10-10,upct,,,,,,1.111597776412964
2017-10-11,upct,24.193134307861328,44.556087493896484,3.972723960876465,5.360457897186279,4.738160133361816,
2017-10-17,upct,23.64645767211914,44.544647216796875,4.6001152992248535,5.692973613739014,4.406065464019775,
2017-10-19,upct,,,,,,1.0533708333969116
2017-10-25,upct,21.773101806640625,44.63691329956055,4.168152332305908,5.689738750457764,4.541789531707764,1.3286924362182615
2017-10-31,upct,,,,,,1.3298133611679075
2017-11-03,upct,21.103363037109375,44.46916580200195,5.505832195281982,6.261956691741943,4.218606948852539,
2017-11-08,upct,18.21173667907715,44.46755599975586,4.872249603271484,6.7680864334106445,4.8349175453186035,1.0770257711410522
2017-11-15,upct,15.720983505249023,44.6296501159668,4.517168045043945,7.216799736022949,5.155428886413574,
2017-11-16,upct,,,,,,0.9698531031608582
2017-11-21,upct,,,,,,1.007776975631714
2017-11-22,upct,15.511390686035156,44.37778854370117,2.653458833694458,7.0311994552612305,5.439268589019775,
2017-11-28,upct,15.508110046386719,44.31761932373047,2.7897815704345703,6.509707927703857,4.918013095855713,
2017-11-29,upct,,,,,,1.3190922737121582
2017-12-05,upct,11.415262222290039,44.57252502441406,2.053347587585449,7.519583225250244,5.092292308807373,1.2054094076156616
2017-12-13,upct,11.78167724609375,44.317569732666016,2.1916534900665283,7.06716775894165,5.36882209777832,
2017-12-14,upct,,,,,,1.273843765258789
2017-12-18,upct,11.431200981140137,44.22274398803711,2.1418144702911377,7.370354175567627,4.687733173370361,
2017-12-21,upct,,,,,,1.4368765354156494
2017-12-26,upct,11.807352066040039,43.86504364013672,1.725929856300354,7.433724403381348,4.096164703369141,1.511952519416809
2018-01-02,upct,12.216243743896484,44.001319885253906,4.261530876159668,7.493206024169922,3.9854226112365723,
2018-01-09,upct,12.035869598388672,43.62187576293945,2.99151611328125,7.406545639038086,3.144521713256836,
2018-01-10,upct,,,,,,1.9693254232406616
2018-01-17,upct,11.524864196777344,43.5608024597168,2.734910488128662,7.571323394775391,9.126980781555176,2.243141889572144
2018-01-24,upct,12.573280334472656,43.331966400146484,2.7545742988586426,7.714879512786865,9.462984085083008,2.448352336883545
2018-01-31,upct,12.355557441711426,43.217777252197266,3.9216885566711426,7.6744303703308105,18.203479766845703,
2018-02-01,upct,,,,,,1.5723090171813965
2018-02-08,upct,,,,,,2.0162899494171143
2018-02-12,upct,10.802577018737793,42.6698112487793,5.480127811431885,8.279370307922363,3.6895668506622314,
2018-02-14,upct,,,,,,2.012601375579834
2018-02-20,upct,12.962960243225098,42.609439849853516,4.119351387023926,8.387276649475098,3.510411024093628,
2018-02-22,upct,,,,,,1.916932225227356
2018-02-27,upct,12.908258438110352,42.52881622314453,4.911417007446289,8.037810325622559,2.6430506706237793,
2018-03-02,upct,,,,,,1.8049793243408203
2018-03-07,upct,13.51704216003418,42.33413314819336,3.462308168411255,7.650508880615234,3.240403890609741,
2018-03-08,upct,,,,,,1.9214518070220947
2018-03-13,upct,15.187907218933105,42.58723068237305,2.9756557941436768,7.317130088806152,2.700925588607788,
2018-03-15,upct,,,,,,1.551572322845459
2018-03-21,upct,,,,,,2.311457633972168
2018-03-26,upct,13.194050788879395,42.64354705810547,2.05454421043396,7.389643669128418,4.406817436218262,
2018-03-27,upct,,,,,,2.7019717693328857
2018-04-04,upct,,,,,,3.250803232192993
2018-04-05,upct,16.716062545776367,42.900630950927734,1.3546311855316162,7.174780368804932,2.8540544509887695,
2018-04-13,upct,,,,,,2.446906805038452
2018-04-17,upct,17.312650680541992,42.99467849731445,1.0232999324798584,6.964915752410889,2.379300832748413,
2018-04-18,upct,,,,,,4.0819926261901855
2018-04-27,upct,18.495742797851562,43.16616439819336,1.4121644496917725,6.6272735595703125,2.596731185913086,
2018-05-02,upct,18.55766487121582,43.1279411315918,1.218906283378601,6.765146732330322,3.829606056213379,3.692394733428955
2018-05-11,upct,21.590599060058594,43.485557556152344,1.6895012855529785,6.408782005310059,2.0258750915527344,3.7064950466156006
2018-05-16,upct,21.545583724975586,43.53720474243164,1.5990808010101318,6.772701740264893,8.927702903747559,3.8390953540802
2018-05-22,upct,22.81941032409668,43.63739013671875,0.8582448363304138,6.469855308532715,1.6475929021835327,
2018-05-23,upct,,,,,,4.805665016174316
2018-05-29,upct,,,,,,4.625407695770264
2018-05-30,upct,23.784318923950195,43.75325012207031,0.7690379619598389,6.120737552642822,1.695501685142517,
2018-06-07,upct,,,,,,4.575393199920654
2018-06-08,upct,23.973134994506836,44.001258850097656,0.6953132152557373,5.891425609588623,12.863386154174805,
2018-06-12,upct,24.837888717651367,44.043800354003906,0.9416189193725586,6.332353115081787,1.3031398057937622,
2018-06-14,upct,,,,,,4.610722064971924
2018-06-20,upct,26.350177764892578,44.21405029296875,0.8863175511360168,6.271915435791016,3.1559290885925293,
2018-06-22,upct,,,,,,4.719486236572266
2018-06-26,upct,27.537517547607422,44.375823974609375,1.4761039018630981,6.425238609313965,1.1170812845230103,
2018-06-29,upct,,,,,,3.729062080383301
2018-07-04,upct,27.764522552490234,44.443817138671875,1.9259414672851562,6.092236042022705,2.5423014163970947,3.983959436416626
2018-07-10,upct,27.926950454711914,44.7967414855957,1.345804214477539,6.113693714141846,1.9210233688354492,
2018-07-12,upct,,,,,,4.26073169708252
2018-07-19,upct,28.111995697021484,44.7440299987793,1.1052093505859375,6.170199394226074,1.0015419721603394,
2018-07-20,upct,,,,,,3.932451009750366
2018-07-24,upct,28.90962791442871,45.170013427734375,1.0564773082733154,6.349825382232666,0.973041296005249,3.995096683502197
2018-08-01,upct,,,,,,3.813245058059693
2018-08-03,upct,29.962982177734375,45.3971061706543,1.3053109645843506,5.987717628479004,2.244586944580078,
2018-08-07,upct,,,,,,4.579463005065918
2018-08-09,upct,30.478622436523438,45.554718017578125,0.7820860743522644,5.833763599395752,1.8509716987609863,
